stage,host,kind,training_seed,condition,env_seed,policy_seed,success,policy_steps,reason,source_summary
primary,H2,depth,0,head,910003,1010003,True,420,dwell_complete,withheld-source-597e2781ed787ee375ec
primary,H2,depth,0,head,910004,1010004,True,482,dwell_complete,withheld-source-597e2781ed787ee375ec
primary,H2,depth,0,head,910005,1010005,True,853,dwell_complete,withheld-source-597e2781ed787ee375ec
primary,H2,rgb,1,head,920001,1020001,True,408,dwell_complete,withheld-source-cfe3e3b26d105a319580
primary,H2,rgb,1,head,920002,1020002,True,404,dwell_complete,withheld-source-cfe3e3b26d105a319580
primary,H2,rgb,1,head,920003,1020003,True,338,dwell_complete,withheld-source-cfe3e3b26d105a319580
primary,H2,rgb,1,head,920004,1020004,True,335,dwell_complete,withheld-source-cfe3e3b26d105a319580
primary,H2,rgb,1,head,920005,1020005,False,2000,max_steps,withheld-source-cfe3e3b26d105a319580
primary,H2,depth,1,head,920001,1020001,True,455,dwell_complete,withheld-source-82b390705fbc74c78862
primary,H2,depth,1,head,920002,1020002,True,495,dwell_complete,withheld-source-82b390705fbc74c78862
primary,H2,depth,1,head,920003,1020003,True,539,dwell_complete,withheld-source-82b390705fbc74c78862
primary,H2,depth,1,head,920004,1020004,True,357,dwell_complete,withheld-source-82b390705fbc74c78862
primary,H2,depth,1,head,920005,1020005,True,605,dwell_complete,withheld-source-82b390705fbc74c78862
primary,H2,rgb,2,head,930001,1030001,True,671,dwell_complete,withheld-source-fbd9f9fd66d1aa14888e
primary,H2,rgb,2,head,930002,1030002,False,2000,max_steps,withheld-source-fbd9f9fd66d1aa14888e
primary,H2,depth,2,head,930001,1030001,True,600,dwell_complete,withheld-source-981e3267cc73a2a49d63
primary,H2,depth,2,head,930002,1030002,True,561,dwell_complete,withheld-source-981e3267cc73a2a49d63
primary,H2,rgb,0,side,910001,1010001,True,305,dwell_complete,withheld-source-dda4d73da7a312ddce0d
primary,H2,rgb,0,side,910002,1010002,True,266,dwell_complete,withheld-source-dda4d73da7a312ddce0d
primary,H2,rgb,0,side,910003,1010003,True,329,dwell_complete,withheld-source-dda4d73da7a312ddce0d
primary,H2,rgb,0,side,910004,1010004,True,468,dwell_complete,withheld-source-dda4d73da7a312ddce0d
primary,H2,rgb,0,side,910005,1010005,True,519,dwell_complete,withheld-source-dda4d73da7a312ddce0d
primary,H2,depth,0,side,910001,1010001,True,438,dwell_complete,withheld-source-7988e548564731dc5ede
primary,H2,depth,0,side,910002,1010002,True,277,dwell_complete,withheld-source-7988e548564731dc5ede
primary,H2,depth,0,side,910003,1010003,True,414,dwell_complete,withheld-source-7988e548564731dc5ede
primary,H2,depth,0,side,910004,1010004,True,338,dwell_complete,withheld-source-7988e548564731dc5ede
primary,H2,depth,0,side,910005,1010005,True,529,dwell_complete,withheld-source-7988e548564731dc5ede
primary,H2,rgb,1,side,920001,1020001,True,379,dwell_complete,withheld-source-642525f4f302bfd1b121
primary,H2,rgb,1,side,920002,1020002,True,416,dwell_complete,withheld-source-642525f4f302bfd1b121
primary,H2,rgb,1,side,920003,1020003,True,398,dwell_complete,withheld-source-642525f4f302bfd1b121
primary,H2,rgb,1,side,920004,1020004,True,434,dwell_complete,withheld-source-642525f4f302bfd1b121
primary,H2,rgb,1,side,920005,1020005,True,632,dwell_complete,withheld-source-642525f4f302bfd1b121
primary,H2,depth,1,side,920001,1020001,True,481,dwell_complete,withheld-source-8acbc9bbf17ab30be034
primary,H2,depth,1,side,920002,1020002,True,623,dwell_complete,withheld-source-8acbc9bbf17ab30be034
primary,H2,depth,1,side,920003,1020003,True,313,dwell_complete,withheld-source-8acbc9bbf17ab30be034
primary,H2,depth,1,side,920004,1020004,True,517,dwell_complete,withheld-source-8acbc9bbf17ab30be034
primary,H2,depth,1,side,920005,1020005,True,540,dwell_complete,withheld-source-8acbc9bbf17ab30be034
primary,H2,rgb,2,side,930001,1030001,True,763,dwell_complete,withheld-source-7296a7b02743e9e4ea13
primary,H2,rgb,2,side,930002,1030002,True,643,dwell_complete,withheld-source-7296a7b02743e9e4ea13
primary,H2,depth,2,side,930001,1030001,True,606,dwell_complete,withheld-source-9cd67482e02da77e6746
primary,H2,depth,2,side,930002,1030002,True,700,dwell_complete,withheld-source-9cd67482e02da77e6746
additional,H2,random_depth,0,none,910001,1010001,True,362,dwell_complete,withheld-source-2f40e5397aaea3ad0465
additional,H2,random_depth,0,none,910002,1010002,True,265,dwell_complete,withheld-source-2f40e5397aaea3ad0465
additional,H2,random_depth,0,none,910003,1010003,True,326,dwell_complete,withheld-source-2f40e5397aaea3ad0465
additional,H2,random_depth,0,top,910001,1010001,True,681,dwell_complete,withheld-source-36eb5932ee048cf54d60
additional,H2,random_depth,0,top,910002,1010002,True,523,dwell_complete,withheld-source-36eb5932ee048cf54d60
additional,H2,random_depth,0,top,910003,1010003,True,930,dwell_complete,withheld-source-36eb5932ee048cf54d60
additional,H2,random_depth,0,head,910001,1010001,True,1529,dwell_complete,withheld-source-1614c417cdefb702b2a5
additional,H2,random_depth,0,head,910002,1010002,True,356,dwell_complete,withheld-source-1614c417cdefb702b2a5
additional,H2,random_depth,0,head,910003,1010003,True,408,dwell_complete,withheld-source-1614c417cdefb702b2a5
additional,H2,rgb_bibranch_matched,0,none,910001,1010001,True,301,dwell_complete,withheld-source-af5a133e2cc41d6d654b
additional,H2,rgb_bibranch_matched,0,none,910002,1010002,True,276,dwell_complete,withheld-source-af5a133e2cc41d6d654b
additional,H2,rgb_bibranch_matched,0,none,910003,1010003,True,412,dwell_complete,withheld-source-af5a133e2cc41d6d654b
additional,H2,rgb_bibranch_matched,0,top,910001,1010001,True,355,dwell_complete,withheld-source-5ec794198861911435a6
additional,H2,rgb_bibranch_matched,0,top,910002,1010002,True,263,dwell_complete,withheld-source-5ec794198861911435a6
additional,H2,rgb_bibranch_matched,0,top,910003,1010003,True,400,dwell_complete,withheld-source-5ec794198861911435a6
additional,H2,rgb_bibranch_matched,0,head,910001,1010001,True,284,dwell_complete,withheld-source-6baa379062ba9e9ae5b5
additional,H2,rgb_bibranch_matched,0,head,910002,1010002,True,269,dwell_complete,withheld-source-6baa379062ba9e9ae5b5
additional,H2,rgb_bibranch_matched,0,head,910003,1010003,True,403,dwell_complete,withheld-source-6baa379062ba9e9ae5b5
additional,H2,depth_only,0,none,910001,1010001,True,1940,dwell_complete,withheld-source-996832e1627601335c75
additional,H2,depth_only,0,none,910002,1010002,True,277,dwell_complete,withheld-source-996832e1627601335c75
additional,H2,depth_only,0,none,910003,1010003,True,402,dwell_complete,withheld-source-996832e1627601335c75
additional,H2,depth_only,0,top,910001,1010001,False,2000,max_steps,withheld-source-a362772045e5cfc95bfd
additional,H2,depth_only,0,top,910002,1010002,False,2000,max_steps,withheld-source-a362772045e5cfc95bfd
additional,H2,depth_only,0,top,910003,1010003,True,593,dwell_complete,withheld-source-a362772045e5cfc95bfd
additional,H2,depth_only,0,head,910001,1010001,False,2000,max_steps,withheld-source-29e7b447086b2a723e27
additional,H2,depth_only,0,head,910002,1010002,False,2000,max_steps,withheld-source-29e7b447086b2a723e27
additional,H2,depth_only,0,head,910003,1010003,True,425,dwell_complete,withheld-source-29e7b447086b2a723e27
additional,H2,depth_stacking,0,none,910001,1010001,True,303,dwell_complete,withheld-source-384a6acbb9ae1f325c40
additional,H2,depth_stacking,0,none,910002,1010002,True,278,dwell_complete,withheld-source-384a6acbb9ae1f325c40
additional,H2,depth_stacking,0,none,910003,1010003,True,340,dwell_complete,withheld-source-384a6acbb9ae1f325c40
additional,H2,depth_stacking,0,top,910001,1010001,True,304,dwell_complete,withheld-source-73425b43fbaf5b8eae45
additional,H2,depth_stacking,0,top,910002,1010002,True,258,dwell_complete,withheld-source-73425b43fbaf5b8eae45
additional,H2,depth_stacking,0,top,910003,1010003,True,546,dwell_complete,withheld-source-73425b43fbaf5b8eae45
additional,H2,depth_stacking,0,head,910001,1010001,True,333,dwell_complete,withheld-source-30935bf4752413b120a2
additional,H2,depth_stacking,0,head,910002,1010002,True,273,dwell_complete,withheld-source-30935bf4752413b120a2
additional,H2,depth_stacking,0,head,910003,1010003,True,322,dwell_complete,withheld-source-30935bf4752413b120a2
additional,H2,gated_fusion,0,none,910001,1010001,True,291,dwell_complete,withheld-source-f9c33244461294b3367f
additional,H2,gated_fusion,0,none,910002,1010002,True,277,dwell_complete,withheld-source-f9c33244461294b3367f
additional,H2,gated_fusion,0,none,910003,1010003,True,411,dwell_complete,withheld-source-f9c33244461294b3367f
additional,H2,gated_fusion,0,top,910001,1010001,True,405,dwell_complete,withheld-source-fb1f9e8e8fb90b6a29d2
additional,H2,gated_fusion,0,top,910002,1010002,True,267,dwell_complete,withheld-source-fb1f9e8e8fb90b6a29d2
additional,H2,gated_fusion,0,top,910003,1010003,True,575,dwell_complete,withheld-source-fb1f9e8e8fb90b6a29d2
additional,H2,gated_fusion,0,head,910001,1010001,True,947,dwell_complete,withheld-source-1aa89d7e9d3606513d94
additional,H2,gated_fusion,0,head,910002,1010002,True,942,dwell_complete,withheld-source-1aa89d7e9d3606513d94
additional,H2,gated_fusion,0,head,910003,1010003,True,489,dwell_complete,withheld-source-1aa89d7e9d3606513d94
additional,H2,gt,0,none,910001,1010001,True,406,dwell_complete,withheld-source-5f1b48020ef8bc40f53e
additional,H2,gt,0,none,910002,1010002,True,268,dwell_complete,withheld-source-5f1b48020ef8bc40f53e
additional,H2,gt,0,none,910003,1010003,True,417,dwell_complete,withheld-source-5f1b48020ef8bc40f53e
additional,H2,gt,0,top,910001,1010001,True,394,dwell_complete,withheld-source-bb44fc5f1feb714f3f80
additional,H2,gt,0,top,910002,1010002,True,267,dwell_complete,withheld-source-bb44fc5f1feb714f3f80
additional,H2,gt,0,top,910003,1010003,True,657,dwell_complete,withheld-source-bb44fc5f1feb714f3f80
additional,H2,gt,0,head,910001,1010001,True,333,dwell_complete,withheld-source-a78851ad5c417234d165
additional,H2,gt,0,head,910002,1010002,True,403,dwell_complete,withheld-source-a78851ad5c417234d165
additional,H2,gt,0,head,910003,1010003,True,323,dwell_complete,withheld-source-a78851ad5c417234d165
additional,H2,camera3d,0,none,910001,1010001,False,2000,max_steps,withheld-source-5c6b662bc9f825b1f297
additional,H2,camera3d,0,none,910002,1010002,False,2000,max_steps,withheld-source-5c6b662bc9f825b1f297
additional,H2,camera3d,0,none,910003,1010003,False,2000,max_steps,withheld-source-5c6b662bc9f825b1f297
additional,H2,camera3d,0,top,910001,1010001,False,2000,max_steps,withheld-source-5452811175df2cb13151
additional,H2,camera3d,0,top,910002,1010002,False,2000,max_steps,withheld-source-5452811175df2cb13151
additional,H2,camera3d,0,top,910003,1010003,False,2000,max_steps,withheld-source-5452811175df2cb13151
additional,H2,camera3d,0,head,910001,1010001,False,2000,max_steps,withheld-source-a64a25527361b63a00c5
additional,H2,camera3d,0,head,910002,1010002,False,2000,max_steps,withheld-source-a64a25527361b63a00c5
additional,H2,camera3d,0,head,910003,1010003,False,2000,max_steps,withheld-source-a64a25527361b63a00c5
primary_ext,H1,rgb,0,none,910016,1010016,True,1221,dwell_complete,withheld-source-941dba5b3b33661a597f
primary_ext,H1,rgb,0,none,910017,1010017,True,1021,dwell_complete,withheld-source-87f2564753c8d8187581
primary_ext,H1,rgb,0,none,910018,1010018,True,1245,dwell_complete,withheld-source-50410510d3a9e73dae17
primary_ext,H1,rgb,0,none,910019,1010019,True,764,dwell_complete,withheld-source-ec16b60dbbbf320beea6
primary_ext,H1,rgb,0,none,910020,1010020,True,787,dwell_complete,withheld-source-d6c79846eb5aabb759f8
primary_ext,H1,rgb,0,none,910021,1010021,True,682,dwell_complete,withheld-source-732ce2c20181e7171b66
primary_ext,H1,rgb,0,top,910016,1010016,False,2000,max_steps,withheld-source-4721e8aa98e9ab3ad863
primary_ext,H1,rgb,0,top,910017,1010017,True,401,dwell_complete,withheld-source-7e383587d57d70178818
primary_ext,H1,rgb,0,top,910018,1010018,True,347,dwell_complete,withheld-source-714087f4b355bb37ee52
primary_ext,H1,rgb,0,top,910019,1010019,False,2000,max_steps,withheld-source-5dbb67fbe5c8b98cfe43
primary_ext,H1,rgb,0,top,910020,1010020,True,1009,dwell_complete,withheld-source-d94b924ef4c8e7b3086b
primary_ext,H1,rgb,0,top,910021,1010021,True,923,dwell_complete,withheld-source-f37ec25a4f8bae0b860d
primary_ext,H1,rgb,0,front,910016,1010016,True,641,dwell_complete,withheld-source-f4acd3676c602766d38d
primary_ext,H1,rgb,0,front,910017,1010017,False,2000,max_steps,withheld-source-77e25dfc2729823923a5
primary_ext,H1,rgb,0,front,910018,1010018,True,992,dwell_complete,withheld-source-7d46c254ab4f91354283
primary_ext,H1,rgb,0,front,910019,1010019,False,2000,max_steps,withheld-source-e38cadb562d1ac5a18e6
primary_ext,H1,rgb,0,front,910020,1010020,True,818,dwell_complete,withheld-source-de5ed39bce58bb956cdd
primary_ext,H1,rgb,0,front,910021,1010021,False,2000,max_steps,withheld-source-388d5e2e0e2cbb5fe108
primary_ext,H1,rgb,0,head,910016,1010016,True,443,dwell_complete,withheld-source-903706b44faa5dbe0740
primary_ext,H1,rgb,0,head,910017,1010017,True,752,dwell_complete,withheld-source-28057c75ee7a643b5ab5
primary_ext,H1,rgb,0,head,910018,1010018,True,1185,dwell_complete,withheld-source-ccd343dd034fe6cdfe52
primary_ext,H1,rgb,0,head,910019,1010019,True,479,dwell_complete,withheld-source-61df40ead90ff9f67ace
primary_ext,H1,rgb,0,head,910020,1010020,True,536,dwell_complete,withheld-source-328c4d47de3ac3c60d9c
primary_ext,H1,rgb,0,head,910021,1010021,True,448,dwell_complete,withheld-source-b778a056d91271a08b80
primary_ext,H1,depth,0,none,910016,1010016,True,1065,dwell_complete,withheld-source-c91a5de6bb7c9df4acef
primary_ext,H1,depth,0,none,910017,1010017,True,468,dwell_complete,withheld-source-8b600ac1bb910c811430
primary_ext,H1,depth,0,none,910018,1010018,True,1054,dwell_complete,withheld-source-954a05fc1237edfbe0e8
primary_ext,H1,depth,0,none,910019,1010019,True,947,dwell_complete,withheld-source-39aae3edb43340b5e962
primary_ext,H1,depth,0,none,910020,1010020,True,486,dwell_complete,withheld-source-0878c14fc1cfd7959c29
primary_ext,H1,depth,0,none,910021,1010021,True,1114,dwell_complete,withheld-source-6aa116ee51560785879a
primary_ext,H1,depth,0,top,910016,1010016,True,1205,dwell_complete,withheld-source-ca2a83d720aa6511bdfc
primary_ext,H1,depth,0,top,910017,1010017,False,2000,max_steps,withheld-source-6be52d8c1f4cae639c4c
primary_ext,H1,depth,0,top,910018,1010018,True,1162,dwell_complete,withheld-source-096bd1b4b4461f1b8f27
primary_ext,H1,depth,0,top,910019,1010019,True,868,dwell_complete,withheld-source-96a77f3410e7721c9d05
primary_ext,H1,depth,0,top,910020,1010020,False,2000,max_steps,withheld-source-c46912ea5dc4e6757b5f
primary_ext,H1,depth,0,top,910021,1010021,True,578,dwell_complete,withheld-source-5537433fa31480c87af9
primary_ext,H1,depth,0,front,910016,1010016,True,1071,dwell_complete,withheld-source-c045b9407797d468cebe
primary_ext,H1,depth,0,front,910017,1010017,False,2000,max_steps,withheld-source-0a1335f9acec89ece5dd
primary_ext,H1,depth,0,front,910018,1010018,True,1126,dwell_complete,withheld-source-717776f83605590b4434
primary_ext,H1,depth,0,front,910019,1010019,False,2000,max_steps,withheld-source-fc7a523c687a5800b432
primary_ext,H1,depth,0,front,910020,1010020,True,1180,dwell_complete,withheld-source-f895682f652c937a33e5
primary_ext,H1,depth,0,front,910021,1010021,False,2000,max_steps,withheld-source-42096c0e8a261ee77945
primary_ext,H1,depth,0,head,910016,1010016,True,520,dwell_complete,withheld-source-b59029874936b7e59c07
primary_ext,H1,depth,0,head,910017,1010017,True,816,dwell_complete,withheld-source-0122527105b297b9ecc2
primary_ext,H1,depth,0,head,910018,1010018,True,1249,dwell_complete,withheld-source-b1f3019d17be5974d242
primary_ext,H1,depth,0,head,910019,1010019,True,608,dwell_complete,withheld-source-ba150e4fdf34d69cb738
primary_ext,H1,depth,0,head,910020,1010020,True,1164,dwell_complete,withheld-source-53a2050ffad3e1ffa460
primary_ext,H1,depth,0,head,910021,1010021,True,641,dwell_complete,withheld-source-7e17cf3d5c0af65353dc
additional,H1,random_depth,0,none,910016,1010016,True,889,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,none,910017,1010017,True,591,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,none,910018,1010018,True,380,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,none,910019,1010019,True,936,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,none,910020,1010020,True,1250,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,none,910021,1010021,True,1018,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,rgb_bibranch_matched,0,none,910016,1010016,True,470,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,none,910017,1010017,True,741,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,none,910018,1010018,False,2000,max_steps,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,none,910019,1010019,True,1002,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,none,910020,1010020,True,666,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,none,910021,1010021,True,763,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,random_depth,0,top,910016,1010016,True,603,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,top,910017,1010017,False,2000,max_steps,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,top,910018,1010018,True,703,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,top,910019,1010019,True,944,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,top,910020,1010020,False,2000,max_steps,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,top,910021,1010021,True,496,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,rgb_bibranch_matched,0,top,910016,1010016,True,657,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,top,910017,1010017,False,2000,max_steps,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,top,910018,1010018,True,1063,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,top,910019,1010019,True,1124,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,top,910020,1010020,False,2000,max_steps,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,top,910021,1010021,True,1061,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,random_depth,0,front,910016,1010016,True,1038,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910017,1010017,False,2000,max_steps,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910018,1010018,True,1176,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910019,1010019,False,2000,max_steps,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910020,1010020,True,1002,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910021,1010021,False,2000,max_steps,withheld-source-7ef1bd7db6f98487196b
additional,H1,rgb_bibranch_matched,0,front,910016,1010016,True,751,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910017,1010017,False,2000,max_steps,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910018,1010018,True,636,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910019,1010019,True,1102,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910020,1010020,False,2000,max_steps,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910021,1010021,False,2000,max_steps,withheld-source-b8199c1e88539c59b569
additional,H1,random_depth,0,head,910016,1010016,True,389,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,head,910017,1010017,True,827,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,head,910018,1010018,True,580,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,head,910019,1010019,True,829,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,head,910020,1010020,True,527,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,head,910021,1010021,True,544,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,rgb_bibranch_matched,0,head,910016,1010016,True,1100,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,head,910017,1010017,True,864,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,head,910018,1010018,True,1029,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,head,910019,1010019,True,1095,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,head,910020,1010020,True,580,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,head,910021,1010021,True,920,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910001,1010001,True,993,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910002,1010002,False,2000,max_steps,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910003,1010003,True,1244,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910008,1010008,True,1113,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910009,1010009,False,2000,max_steps,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,front,910010,1010010,False,2000,max_steps,withheld-source-b8199c1e88539c59b569
additional,H1,random_depth,0,front,910001,1010001,False,2000,max_steps,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910002,1010002,False,2000,max_steps,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910003,1010003,True,527,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910008,1010008,True,772,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910009,1010009,False,2000,max_steps,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,front,910010,1010010,True,539,dwell_complete,withheld-source-7ef1bd7db6f98487196b
