stage,host,kind,training_seed,condition,env_seed,policy_seed,success,policy_steps,reason,source_summary
primary,H1,rgb,2,front,930011,1030011,True,1899,dwell_complete,withheld-source-d23d0c1a0815f87339ab
primary,H1,depth,2,front,930007,1030007,True,524,dwell_complete,withheld-source-ae518ba82aee80b49394
primary,H1,depth,2,front,930008,1030008,True,985,dwell_complete,withheld-source-ae518ba82aee80b49394
primary,H1,depth,2,front,930009,1030009,True,490,dwell_complete,withheld-source-ae518ba82aee80b49394
primary,H1,depth,2,front,930010,1030010,True,335,dwell_complete,withheld-source-ae518ba82aee80b49394
primary,H1,depth,2,front,930011,1030011,True,462,dwell_complete,withheld-source-ae518ba82aee80b49394
primary,H1,rgb,0,head,910008,1010008,True,835,dwell_complete,withheld-source-9ce9dd1b1bdd38852060
primary,H1,rgb,0,head,910009,1010009,True,720,dwell_complete,withheld-source-9ce9dd1b1bdd38852060
primary,H1,rgb,0,head,910010,1010010,True,1177,dwell_complete,withheld-source-9ce9dd1b1bdd38852060
primary,H1,depth,0,head,910008,1010008,True,1346,dwell_complete,withheld-source-667340acfa83b3f01e94
primary,H1,depth,0,head,910009,1010009,True,1145,dwell_complete,withheld-source-667340acfa83b3f01e94
primary,H1,depth,0,head,910010,1010010,True,1584,dwell_complete,withheld-source-667340acfa83b3f01e94
primary,H1,rgb,1,head,920008,1020008,False,2000,max_steps,withheld-source-fc336812423f694dd593
primary,H1,rgb,1,head,920009,1020009,True,591,dwell_complete,withheld-source-fc336812423f694dd593
primary,H1,rgb,1,head,920010,1020010,True,480,dwell_complete,withheld-source-fc336812423f694dd593
primary,H1,depth,1,head,920008,1020008,True,454,dwell_complete,withheld-source-27a17ce7263d9624241e
primary,H1,depth,1,head,920009,1020009,True,450,dwell_complete,withheld-source-27a17ce7263d9624241e
primary,H1,depth,1,head,920010,1020010,True,478,dwell_complete,withheld-source-27a17ce7263d9624241e
primary,H1,rgb,2,head,930007,1030007,True,465,dwell_complete,withheld-source-98d36b6bb4f615d592ee
primary,H1,rgb,2,head,930008,1030008,True,621,dwell_complete,withheld-source-98d36b6bb4f615d592ee
primary,H1,rgb,2,head,930009,1030009,False,2000,max_steps,withheld-source-98d36b6bb4f615d592ee
primary,H1,rgb,2,head,930010,1030010,False,2000,max_steps,withheld-source-98d36b6bb4f615d592ee
primary,H1,rgb,2,head,930011,1030011,True,423,dwell_complete,withheld-source-98d36b6bb4f615d592ee
primary,H1,depth,2,head,930007,1030007,True,473,dwell_complete,withheld-source-8d352e7cac844724e7ee
primary,H1,depth,2,head,930008,1030008,True,619,dwell_complete,withheld-source-8d352e7cac844724e7ee
primary,H1,depth,2,head,930009,1030009,True,357,dwell_complete,withheld-source-8d352e7cac844724e7ee
primary,H1,depth,2,head,930010,1030010,True,311,dwell_complete,withheld-source-8d352e7cac844724e7ee
primary,H1,depth,2,head,930011,1030011,True,365,dwell_complete,withheld-source-8d352e7cac844724e7ee
primary,H1,rgb,0,side,910008,1010008,True,545,dwell_complete,withheld-source-b411b3286e1dfa6d7f5f
primary,H1,rgb,0,side,910009,1010009,True,500,dwell_complete,withheld-source-b411b3286e1dfa6d7f5f
primary,H1,rgb,0,side,910010,1010010,True,467,dwell_complete,withheld-source-b411b3286e1dfa6d7f5f
primary,H1,depth,0,side,910008,1010008,True,425,dwell_complete,withheld-source-0ef1b81a1d7402d8ab64
primary,H1,depth,0,side,910009,1010009,True,499,dwell_complete,withheld-source-0ef1b81a1d7402d8ab64
primary,H1,depth,0,side,910010,1010010,True,535,dwell_complete,withheld-source-0ef1b81a1d7402d8ab64
primary,H1,rgb,1,side,920008,1020008,True,657,dwell_complete,withheld-source-62679d64facbf3f07c1f
primary,H1,rgb,1,side,920009,1020009,True,735,dwell_complete,withheld-source-62679d64facbf3f07c1f
primary,H1,rgb,1,side,920010,1020010,True,557,dwell_complete,withheld-source-62679d64facbf3f07c1f
primary,H1,depth,1,side,920008,1020008,True,353,dwell_complete,withheld-source-dac557d36abfc52f3dc1
primary,H1,depth,1,side,920009,1020009,True,400,dwell_complete,withheld-source-dac557d36abfc52f3dc1
primary,H1,depth,1,side,920010,1020010,True,310,dwell_complete,withheld-source-dac557d36abfc52f3dc1
primary,H1,rgb,2,side,930007,1030007,True,571,dwell_complete,withheld-source-0ed46de8577a301fe545
primary,H1,rgb,2,side,930008,1030008,True,977,dwell_complete,withheld-source-0ed46de8577a301fe545
primary,H1,rgb,2,side,930009,1030009,True,498,dwell_complete,withheld-source-0ed46de8577a301fe545
primary,H1,rgb,2,side,930010,1030010,False,2000,max_steps,withheld-source-0ed46de8577a301fe545
primary,H1,rgb,2,side,930011,1030011,True,642,dwell_complete,withheld-source-0ed46de8577a301fe545
primary,H1,depth,2,side,930007,1030007,True,413,dwell_complete,withheld-source-6b29759033cf22920080
primary,H1,depth,2,side,930008,1030008,True,956,dwell_complete,withheld-source-6b29759033cf22920080
primary,H1,depth,2,side,930009,1030009,True,497,dwell_complete,withheld-source-6b29759033cf22920080
primary,H1,depth,2,side,930010,1030010,True,607,dwell_complete,withheld-source-6b29759033cf22920080
primary,H1,depth,2,side,930011,1030011,True,759,dwell_complete,withheld-source-6b29759033cf22920080
primary,H1,rgb,2,none,930012,1030012,True,788,dwell_complete,withheld-source-6b86571d234e280b6ab1
primary,H1,depth,2,none,930012,1030012,True,581,dwell_complete,withheld-source-12c99457a03a4e27b2fe
primary,H1,rgb,2,top,930012,1030012,True,821,dwell_complete,withheld-source-8eebfc81367527f02960
primary,H1,depth,2,top,930012,1030012,True,697,dwell_complete,withheld-source-a0bd5305f0bd8ac8cc87
primary,H1,rgb,2,front,930012,1030012,False,2000,max_steps,withheld-source-84138aa5e105fe315f39
primary,H1,depth,2,front,930012,1030012,True,777,dwell_complete,withheld-source-90057b5b5ac12be4a818
primary,H1,rgb,2,head,930012,1030012,False,2000,max_steps,withheld-source-4c4991aa6c1f0ad8bd93
primary,H1,depth,2,head,930012,1030012,True,466,dwell_complete,withheld-source-b2b5d82a87628e606855
primary,H1,rgb,2,side,930012,1030012,True,758,dwell_complete,withheld-source-995f1f125aa32fc6dbc6
primary,H1,depth,2,side,930012,1030012,True,770,dwell_complete,withheld-source-f85aef2b8a423271620e
