tag,group,kind,success,joint_index,joint_name,per_joint_signed_work_j,per_joint_positive_work_j,per_joint_absolute_work_j,per_joint_peak_absolute_power_w,per_joint_peak_absolute_torque_nm,per_joint_peak_absolute_velocity_rad_s,per_joint_min_limit_margin_rad
record-f975db94c7cd5bd5,corrected,depth,True,0,waist,220.4776229210337,221.97381212206653,223.47000132309924,11.992237070873179,69.17163127284579,0.1882973566367567,21.988798303806597
record-f975db94c7cd5bd5,corrected,depth,True,1,shoulder,68.85938521354093,69.76568456691113,70.67198392028112,26.892718543979324,144.67203404536758,0.21747956533581192,0.6318180792060311
record-f975db94c7cd5bd5,corrected,depth,True,2,elbow,234.6809728455806,237.06054960296595,239.44012636035134,157.01800124314747,457.40589331757474,0.40259876414455353,0.7098001525360687
record-f975db94c7cd5bd5,corrected,depth,True,3,forearm_roll,-0.011408282029525164,0.026842988328362696,0.06509425868624925,0.05973390810085396,5.020708671262117,0.014268048325670014,3.1304887752765946
record-f975db94c7cd5bd5,corrected,depth,True,4,wrist_angle,71.91940935773268,73.04063104671742,74.16185273570225,24.081969066326113,55.83919455947853,0.46624962335796083,0.15128184337931483
record-c07e475e1e481814,corrected,depth,False,0,waist,639.4112349703357,646.3706559348112,653.3300768992847,11.239272937324401,68.83303458362752,0.17873638046581483,-0.0006011701579637929
record-c07e475e1e481814,corrected,depth,False,1,shoulder,86.08415875777604,88.24330403803853,90.40244931830084,53.23151389146387,260.03241188049105,0.2753522927898679,0.32763906921681196
record-c07e475e1e481814,corrected,depth,False,2,elbow,313.397554381074,316.48464262499414,319.57173086891413,380.26515428868555,788.2284169401646,0.6597192908236995,0.30709575821604695
record-c07e475e1e481814,corrected,depth,False,3,forearm_roll,0.057113052732330416,0.2476502016443547,0.4381873505563773,0.4306455505113034,8.641193840942492,0.058607640063581545,3.084414245135113
record-c07e475e1e481814,corrected,depth,False,4,wrist_angle,66.68656524758674,68.31338842216513,69.94021159674446,26.689283713660227,56.06786570921861,0.5043685543207428,0.0356328780337658
record-cdd3acfefa828212,corrected,depth,True,0,waist,346.03028842196784,350.26251019746013,354.4947319729554,12.123114624388428,69.74820265325451,0.18674235927818106,15.634007139076372
record-cdd3acfefa828212,corrected,depth,True,1,shoulder,121.63547961186157,125.88884390501072,130.1422081981591,197.01058559294248,521.4497607781595,0.4974703149970704,0.42888194716181316
record-cdd3acfefa828212,corrected,depth,True,2,elbow,613.8953978096671,620.9990841324658,628.1027704552644,1184.3943864676141,1369.0113283609498,1.1957608880934656,0.19089787722630547
record-cdd3acfefa828212,corrected,depth,True,3,forearm_roll,0.12543297866661085,0.2523585699377717,0.3792841612089391,0.25711828713795487,9.942314686808402,0.028594845338157145,3.031602031087184
record-cdd3acfefa828212,corrected,depth,True,4,wrist_angle,61.48745282212471,64.01086248113309,66.53427214014165,23.913064493789125,55.716829807277236,0.6181332376555543,-0.0018212143122324775
record-be94ee836f30aea2,corrected,depth,False,0,waist,590.1446727553281,597.342372057796,604.5400713602636,11.97049355725607,70.08463027900078,0.18402997768452245,2.8803341106012113
record-be94ee836f30aea2,corrected,depth,False,1,shoulder,127.67453960277219,130.6715831713156,133.66862673985742,114.16270946514291,404.1907362527418,0.3699098188930189,0.33064182162365885
record-be94ee836f30aea2,corrected,depth,False,2,elbow,560.0377686573897,567.2640516081972,574.4903345590047,657.8575981486022,1022.6841812903804,0.8898440023645668,0.12240238793606095
record-be94ee836f30aea2,corrected,depth,False,3,forearm_roll,0.037936660651556854,0.23866059639985435,0.4393845321481651,0.12877879099746162,8.39229749010616,0.02089802685166785,3.0529811052635334
record-be94ee836f30aea2,corrected,depth,False,4,wrist_angle,65.18956832261686,67.60200261488518,70.0144369071531,24.017603448000248,56.454223360201695,0.45975614671216763,0.0035990818294338034
record-9393f168830c9e65,corrected,depth,False,0,waist,642.520795359829,648.9364517428169,655.3521081258068,10.898375262600156,66.23210456995713,0.17700806144764059,-0.0003850877631066396
record-9393f168830c9e65,corrected,depth,False,1,shoulder,105.54580626106907,108.8446444114091,112.14348256174921,105.0128486171572,367.99842640523,0.39446412833248945,0.35681190625764625
record-9393f168830c9e65,corrected,depth,False,2,elbow,456.0364981979411,463.085907442125,470.1353166863096,801.1844260686814,1035.5355050327707,0.9639496763882534,0.3076032085942868
